cafe_name,avg_rating,review,indv_rating,review_date,latitude,longtitude
Bird & Branch,5.0,"This is a well deserved 5 stars. Everything from quality, service, uniqueness, and ambiance!! And that's coming from a coffee snob who's been trying a couple new coffee spots each weekend.  I got the blackbird which included thyme and blackberries in a cappuccino-like form. 10/10. My husband got the coffee flight, and the employees even brought the flight over to where we were sitting, explained each bean within each flight of espresso. Huge fan of the Burundi espresso bean, it had floral/fruity undertone like nothing we had ever tried before! Would come back and by just the beans too.  AND their food was sooo fresh and yummy. The nori avocado toast was delicious, it's topped with sesame to give an extra boost of flavor.  Honestly, I was a die hard Blue Bottle coffee drinker as it's two blocks from where I live, but I think this place is now right up there (plus they offer more unique coffees if you're looking to spice up your weekend coffee!).  Price was comparable to other coffee shops. But if I had to choose between a $6 coffee at Starbucks or Bird & Branch, hands down it would be bird and branch!!",5.0,3/2/2019,40.7603019,-73.9907769
Bird & Branch,5.0,I love the concept and how unique everything was. The avocado toast looked amazing but I had just had breakfast and wish I hadn't! I had the coffee sampler and the rotation today was not pleasant.  The espresso shot was so sour and too floral to be enjoyable.  The cortado was okay and easier to enjoy.  The ice coffee was pleasant. We added some sugar to help with the acidic after taste.  I would like to go back to try the macadamia nut latte which seemed to be the most popular item.,3.0,3/2/2019,40.7603019,-73.9907769
Bird & Branch,5.0,"A small, perfect coffee and pastry place in Hell's Kitchen that stands head-and-shoulders above the myriad mediocre midtown mud joints.  Start with passionate people behind the bar, top of the line everything from the beans to the equipment, including some exquisite matcha, and add a small, but intensely good selection of pastries. If you don't make your way over here, and sample passion and perfection, then what the heck ""I live in a $20m and have a $600k parking space"" kind of New Yorker are you?  Authenticity and quality rock this cozy place a stone's throw from Broadway and Times Square. Be there!",5.0,2/12/2019,40.7603019,-73.9907769
Bird & Branch,5.0,"Nice coffee shop, good for working or for a break from work. Matcha latte looks really cool but taste average... Wouldn't go out of the way to try it.",3.0,3/17/2019,40.7603019,-73.9907769
Bird & Branch,5.0,"Great new cute coffee shop with really good coffee in Hell's Kitchen. Can't wait to come back! Few coffee shops this nice in the area.  Saint Frank coffee roasters (San Francisco), currently they're using the Guatemala single origin for espresso drinks. Nice to find a different toaster because NY is dominated usually by the same coffee beans.  Staff are nice. Space is very cute and attention to detail for the decor.  Also tried the matcha square desert. Very good, strong matcha flavor and moist and gooey.",5.0,12/30/2018,40.7603019,-73.9907769
Bird & Branch,5.0,"This is such a cute cafe! I'm visiting New York from Southern California, and I passed by this cafe multiple times but didn't really go in until today (the day I'm supposed to leave lol). The baristas were super friendly and nice. I got the earl grey tea and nori avocado toast. I was surprised by how good the avocado toast was! I also bought a shirt and reusable cup because they were so cute. I also really appreciated the small efforts they made to be more environmentally friendly, like using metal straws for drinks and having separate compartments for trash, compost, plastic, and etc. Wish I can come back if I'm ever in New York again!",5.0,3/10/2019,40.7603019,-73.9907769
Bird & Branch,5.0,"Service 5/5 Toast 4/5 Drink 2/5 My blackbird latte, with espresso, blackberries, thyme and housemade macadamia milk wasn't the best combination, as the blackberries were to sweet/tart to go with the acidity of the espresso, however I could tell by drinking it that the espresso aspect on its own would probably be bomb. This is the kind of creative spirit I live for when it comes to food! I had a toast with yuzu jam and ricotta cheese, which was a first for me, and it was great, the bread was quality, soft, with crispy flavorful edges! They also have hooks for your coat, which is so sweet! I'll have to come back some time and try some more of the more unique creations on the menu, who knows, maybe one of the crazy concoctions will be my cryptonite!",4.0,1/16/2019,40.7603019,-73.9907769
Bird & Branch,5.0,"Honeslty a really good place to sit down and just work. Idk why the other reviews say not to but the wifi here is free, seating was readily available (granted i came here on a rainy day) and there were plenty of outlets. I got a regular iced coffee and it came in a nice cute cup with a metal straw which is a huge plus to me. Great place to sit relax and have a relatively quiet place to work. Gotta try their other stuff an",5.0,3/21/2019,40.7603019,-73.9907769
Bird & Branch,5.0,"I can't believe a quality neighborhood cafe as good as this exists just blocks away from the Times Square/Port Authority madness! What a fantastic spot for delicious drinks and lighter fare.  Their signature drinks are really cool, with lots of interesting ingredients for a little variety from the norm. I tried the blackbird, which has to be one of the most unusual and delicious lattes I've had. I believe blackberries made their way into the mix (the ingredients are listed in the store), giving it a fruity, tart flavor under the creamy latte texture. Really good stuff!  I also had a cappuccino, which was delicious; very smooth without any bitterness. It seems like the cafe prides itself on its coffee, going so far as to offer flights so you can taste all the different beans being used. The staff (owners?) who helped me out were incredibly kind and happy to talk about their products in a helpful way.  Definitely recommend this place if you're in the area and looking for an excellent coffee shop that caters to locals!",5.0,12/21/2018,40.7603019,-73.9907769
Bird & Branch,5.0,Tried this place out on Sunday while I was in nyc and was really impressed! The shop is pretty small so you may not necessarily find a spot to sit but you should get their coffee and pastries to go! I got the americano and also the chia yogurt. The americano was strong and hit the spot! And the chia yogurt was really good! I wanted to take some for the road. We also tried the kouign-Amann which was delicious! It was sweet and flaky. The service was also great! The server gave good tips on the pastries and also was pleasant and hospitable. 5/5 would definitely go back.,5.0,2/19/2019,40.7603019,-73.9907769
